id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1776314699999,74894.1,1776314759999,75010,75010,75455.80575,"TRAILING_SL",0.24568769999996498,0,0.65,1,0.9953999999999651,0,0.44302555207952576,0,75060,74894.1,74519.62950000001,2.2468229999999747,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.22468230000000003,0.22518000000000002,0.545537699999965,0.2428040393034837,0,0,0,0,1.0177137643027638,0.30835167137663255,"MED",0.7884905082349085,4,"ASIA","NORMAL"
2,"LONG",1776317399999,74894.1,1776317459999,75026.8,75026.8,75455.80575,"TRAILING_SL",0.3464372999999825,0,0.65,1,1.0961999999999825,0,0.487888899125563,0,75076.8,74894.1,74519.62950000001,2.2468229999999747,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.22468230000000003,0.2252304,0.6462872999999825,0.28764495467599793,0,0,0,0,1.4255393932839453,0.3099043838013643,"MED",0.6909975606200554,5,"ASIA","NORMAL"
3,"LONG",1776322799999,74898.1,1776322859999,74934.6,74934.6,75459.83575000001,"TRAILING_SL",-0.23049810000000007,0,0.65,1,0.519,0,0.23098049216201752,0,74984.6,74898.1,74523.6095,2.2469429999999995,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.22469430000000004,0.22495380000000004,0.06935189999999997,0.030865001915936444,0,0,0,0,1.53910735564945,0.2558802814157369,"MED",0.5218053684375114,6,"ASIA","NORMAL"
4,"SHORT",1776347999999,74563.1,1776348059999,73650,73650,74003.87675000001,"TRAILING_SL",5.033960700000034,0,0.65,1,5.7786000000000355,0,2.5833153396251327,0,73600,74563.1,74935.9155,2.236892999999982,1,0,1,0,0,0,0,0,1,1,1,0,0.1,0.22368930000000004,0.22080000000000002,5.334110700000036,2.3846069972949437,1,1,1,0,-0.3703348416045129,0.3880018958992475,"MED",-1.008718140527118,13,"OVERLAP","CONSOLIDATION"
5,"SHORT",1776353399999,74376.8,1776353459999,74172,74172,73818.974,"TRAILING_SL",0.7831536000000174,0,0.65,1,1.5288000000000175,0,0.6851598885674004,0,74122,74376.8,74748.68400000001,2.231304000000033,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.2231304,0.222366,1.0833036000000174,0.48550246851168705,0,0,0,0,0.21598826797143075,0.43167546075086655,"HIGH",-0.39639818624343437,15,"OVERLAP","CONSOLIDATION"
6,"LONG",1776435299999,76970.1,1776435359999,77125.5,77125.5,77547.37575,"TRAILING_SL",0.39176099999997094,0,0.65,1,1.0269999999999708,0,0.5337137407902391,0,77175.5,76970.1,76585.2495,1.9242525000000024,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.19242525000000002,0.19293875,0.6416359999999708,0.3334468839198442,0,0,0,0,4.432007937196404,0.5542400857176761,"HIGH",2.3130317390924735,14,"OVERLAP","MOMENTUM_EXTREME"
7,"LONG",1776463199999,77337.1,1776463259999,77350.1,77350.1,77917.12825000001,"TRAILING_SL",-0.32171800000000006,0,0.65,1,0.315,0,0.16292309900422663,0,77400.1,77337.1,76950.4145,1.9334275000000345,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.19334275000000004,0.19350025000000004,-0.07184300000000007,-0.03715836254527195,0,0,0,0,3.3322608508746514,0.35470043968383574,"MED",1.233707600392248,21,"US","MOMENTUM_EXTREME"
8,"LONG",1776465899999,77305.5,1776466019999,77347.9,77347.9,77885.29125,"TRAILING_SL",-0.17463350000002906,0,0.65,1,0.4619999999999709,0,0.2390515551933433,0,77397.9,77305.5,76918.9725,1.9326374999999827,2,0,2,0,0,0,0,0,0,0,0,0,0.1,0.19326375,0.19349475,0.07524149999997087,0.03893202941574483,0,0,0,0,3.327568592624244,0.3225995425299309,"MED",1.1972164273569184,22,"US","MOMENTUM_EXTREME"
9,"SHORT",1776665699999,74317,1776665759999,74255,74255,73759.6225,"TRAILING_SL",-0.073716,0,0.65,1,0.672,0,0.301411520917147,0,74205,74317,74688.585,2.2295100000000385,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.222951,0.222615,0.22643400000000002,0.10156222667760903,0,0,0,0,-1.4434995408193212,0.26000847809512523,"MED",-0.6655564701261866,6,"ASIA","NORMAL"
10,"LONG",1776766499999,76309.3,1776766559999,76348.4,76348.4,76881.61975,"TRAILING_SL",-0.18614425000004367,0,0.65,1,0.4454999999999564,0,0.23352330580936276,0,76398.4,76309.3,75927.7535,1.9077324999999838,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.19077325000000003,0.19099599999999997,0.0637307499999564,0.033406544156456386,0,0,0,0,1.4688049938572822,0.29213320862954484,"MED",0.779401644978771,10,"EU","NORMAL"
11,"LONG",1776770999999,76381.4,1776771119999,76611.1,76611.1,76954.26049999999,"TRAILING_SL",0.7660187500000583,0,0.65,1,1.3985000000000583,0,0.7323772541482793,0,76661.1,76381.4,75999.49299999999,1.9095350000000326,1,0,2,0,0,0,0,0,1,0,0,0,0.1,0.1909535,0.19165275000000004,1.0158937500000582,0.5320110655212085,1,0,0,0,2.011256326358931,0.33149671596910074,"MED",0.9808610977151191,11,"EU","NORMAL"
12,"LONG",1776833999999,77426,1776834059999,77450,77450,78006.695,"TRAILING_SL",-0.26719000000000004,0,0.65,1,0.37,0,0.19115025960271512,0,77500,77426,77038.87,1.9356500000000234,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.19356500000000001,0.19375,-0.017315000000000025,-0.00894531552708383,0,0,0,0,2.2766391062396423,0.3248699048998804,"MED",1.6001415881731287,4,"ASIA","NORMAL"
13,"LONG",1776836699999,77970,1776836819999,78057.7,78057.7,78724.67006089454,"TRAILING_SL",0.04843074999998542,0,0.65,1,0.6884999999999855,0,0.27369576547818,0,78107.7,77970,77466.8866260703,2.5155668696484645,2,0,2,0,0,0,0,0,0,0,0,0,0.1,0.19492500000000001,0.19526925,0.29830574999998544,0.11858390790528732,0,0,0,0,3.023990606922114,0.382508539764021,"MED",2.396179122349531,5,"ASIA","MOMENTUM_EXTREME"
14,"LONG",1776864599999,78302.4,1776864659999,78377.4,78377.4,78889.66799999999,"TRAILING_SL",-0.016699499999999978,0,0.65,1,0.625,0,0.3192750158360388,0,78427.4,78302.4,77910.88799999999,1.9575600000000122,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.195756,0.1960685,0.23317549999999995,0.119115378328122,0,0,0,0,3.2055221788654227,0.25851573555198754,"MED",1.5422662718002904,13,"OVERLAP","MOMENTUM_EXTREME"
15,"SHORT",1776971699999,77718.2,1776971819999,77707.1,77707.1,77135.3135,"TRAILING_SL",-0.33306325000004366,0,0.65,1,0.30549999999995636,0.36150000000001453,0.15723472751554005,0.18605680522709697,77657.1,77790.5,78106.791,1.9429550000000018,1,2,2,0,0,0.36150000000001453,0,0.18605680522709697,0,0,0,0,0.1,0.1942955,0.19414275,-0.08293825000004365,-0.04268665512070201,0,0,0,0,-1.4722618707774213,0.431462145024062,"HIGH",-0.32429688864559486,19,"US","NORMAL"
16,"SHORT",1776974399999,77718.2,1776974459999,77653.6,77653.6,77135.3135,"TRAILING_SL",-0.06542950000004366,0,0.65,1,0.5729999999999563,0,0.2949116165839949,0,77603.6,77718.2,78106.791,1.9429550000000018,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1942955,0.19400900000000001,0.1846954999999563,0.09505907239228707,0,0,0,0,-1.4244703290343632,0.4033851914099075,"HIGH",-0.2776855041677375,19,"US","NORMAL"
17,"SHORT",1777027499999,77595.2,1777028699999,77983.17599999999,77983.17599999999,77013.236,"SL",-2.328825939999976,0,0.65,0,0.11799999999995635,1.9720000000000437,0.060828504855948734,1.016557725220152,77571.6,77989.6,77983.17599999999,1.9398799999999756,1,20,20,0,0,1.9720000000000437,0,1.016557725220152,0,0,0,0,0.1,0.193988,0.19392900000000005,-0.2699170000000437,-0.13914108089162583,0,0,0,0,0.3494898585878475,0.2276386156003214,"MED",-0.3154083616943116,10,"EU","CONSOLIDATION"
18,"SHORT",1777065299999,77699.9,1777065599999,77584.7,77584.7,77117.15075,"TRAILING_SL",0.18778849999998548,0,0.65,1,0.8259999999999854,0,0.4252257724913283,0,77534.7,77699.9,78088.3995,1.9424975000000269,2,0,5,0,0,0,0,0,0,0,0,0,0.1,0.19424974999999997,0.19383675,0.4379134999999854,0.22543838537757674,0,0,0,0,-0.3719420772483224,0.24156188882668286,"MED",-0.3568405517118716,21,"US","CONSOLIDATION"
19,"SHORT",1777067999999,77556.4,1777068119999,77516.4,77516.4,76974.727,"TRAILING_SL",-0.18768199999999996,0,0.65,1,0.45,0,0.2320891634990755,0,77466.4,77556.4,77944.182,1.9389100000000326,1,0,2,0,0,0,0,0,0,0,0,0,0.1,0.193891,0.193666,0.062443000000000026,0.03220520808082839,0,0,0,0,-0.42649649640646664,0.21651380249814706,"MED",-0.3911567001407257,21,"US","CONSOLIDATION"
20,"LONG",1777219199999,77965.1,1777219259999,77982.4,77982.4,78549.83825,"TRAILING_SL",-0.3033687500000582,0,0.65,1,0.3364999999999418,0,0.17264134850077092,0,78032.4,77965.1,77575.2745,1.9491275000000314,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.19491275000000002,0.195081,-0.05349375000005824,-0.027444972173476273,0,0,0,0,0.9362505984188878,0.15148002391972076,"LOW",0.259429046169232,15,"OVERLAP","CONSOLIDATION"
21,"LONG",1777228199999,78069.3,1777228439999,78125,78125,78654.81975000001,"TRAILING_SL",-0.11198575000001454,0,0.65,1,0.5284999999999854,0,0.27078505891559723,0,78175,78069.3,77678.9535,1.9517324999999983,2,0,4,0,0,0,0,0,0,0,0,0,0.1,0.19517325000000002,0.19543750000000001,0.1378892499999854,0.07064966638613925,0,0,0,0,1.0980507851723107,0.15978018007751055,"LOW",0.38617396127603826,18,"US","NORMAL"
22,"LONG",1777231799999,78069.3,1777231919999,78129.1,78129.1,78654.81975000001,"TRAILING_SL",-0.09149599999998553,0,0.65,1,0.5490000000000146,0,0.28128854748282106,0,78179.1,78069.3,77678.9535,1.9517324999999983,1,0,2,0,0,0,0,0,0,0,0,0,0.1,0.19517325000000002,0.19544775000000003,0.15837900000001454,0.08114790320907946,0,0,0,0,1.2272735514519688,0.20398065495823803,"MED",0.3754690933923757,19,"US","NORMAL"
23,"LONG",1777240799999,77976,1777240859999,78444.2,78444.2,78560.82,"TRAILING_SL",1.9499494999999856,0,0.65,1,2.5909999999999855,0,1.329126910844339,0,78494.2,77976,77586.12,1.9494000000000233,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.19494,0.1962355,2.199824499999986,1.1284623473889195,1,1,0,0,1.132678776273364,0.29325975849362296,"MED",0.533394277294228,21,"US","NORMAL"
24,"LONG",1777243499999,78069.3,1777243559999,78273,78273,78654.81975000001,"TRAILING_SL",0.6276442499999855,0,0.65,1,1.2684999999999855,0,0.64993537792704,0,78323,78069.3,77678.9535,1.9517324999999983,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.19517325000000002,0.1958075,0.8775192499999854,0.44961041023807624,0,0,0,0,0.8843145369758076,0.3380436817127568,"MED",0.3708743437061439,22,"US","CONSOLIDATION"
25,"SHORT",1777301999999,77850.1,1777302059999,77765.3,77765.3,76977.96314212824,"TRAILING_SL",0.03496150000001452,0,0.65,1,0.6740000000000146,0,0.2318443466469509,0,77715.3,77850.1,78431.52457191452,2.907122859572555,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.19462525000000003,0.19428825,0.28508650000001456,0.09806482689965565,0,0,0,0,-0.3408202749625226,0.2735225479852145,"MED",-0.29226712040402203,14,"OVERLAP","CONSOLIDATION"
26,"SHORT",1777304699999,77058.3,1777304819999,76999.3,76999.3,76480.36275,"TRAILING_SL",-0.09014400000000006,0,0.65,1,0.545,0,0.2829026853693843,0,76949.3,77058.3,77443.59150000001,1.9264575000000332,2,0,2,0,0,0,0,0,0,0,0,0,0.1,0.19264575000000003,0.19237325000000002,0.15998099999999996,0.08304413671207239,0,0,0,0,-1.2700126014170654,0.36138084420636907,"MED",-1.2724105045176186,15,"OVERLAP","NORMAL"
27,"SHORT",1777350599999,76792.4,1777350779999,76784.6,76784.6,76216.457,"TRAILING_SL",-0.3449425000000582,0,0.65,1,0.2889999999999418,0,0.15053573009826082,0,76734.6,76792.4,77176.362,1.9198099999999978,1,0,3,0,0,0,0,0,0,0,0,0,0.1,0.19198099999999998,0.19183650000000002,-0.0948175000000582,-0.04938900203669025,0,0,0,0,-2.9619889879955283,0.22592051892653905,"MED",-0.6382364095566609,4,"ASIA","NORMAL"
28,"SHORT",1777365899999,76871.3,1777365959999,76765.2,76765.2,76294.76525,"TRAILING_SL",0.146408750000029,0,0.65,1,0.7805000000000292,0,0.4061333683702711,0,76715.2,76871.3,77255.6565,1.9217824999999722,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.19217825000000002,0.19178800000000001,0.39653375000002916,0.2063364350544533,0,0,0,0,-1.0503264789509292,0.243456178858731,"MED",-0.4293406389408517,8,"EU","NORMAL"
