id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1746994499999,104221.6,1746994619999,104334.4,104334.4,105003.262,"TRAILING_SL",0.03408799999995338,0,0.65,1,0.6511999999999535,0,0.3124112468048669,0,104384.4,104221.6,103700.49200000001,2.0844319999999716,1,0,2,0,0,0,0,0,0,0,0,0,0.1,0.20844320000000002,0.2087688,0.23398799999995343,0.11225504118146172,0,0,0,0,1.150514780495044,0.27505013648721355,"MED",0.30311457585873686,20,"US","NORMAL"
2,"SHORT",1747094399999,102900,1747094579999,102668,102668,102128.25,"TRAILING_SL",0.516864,0,0.65,1,1.1280000000000001,0,0.5481049562682216,0,102618,102900,103414.5,2.058,3,0,3,0,0,0,0,0,1,0,0,0,0.1,0.2058,0.20523600000000003,0.7169640000000002,0.3483790087463558,0,0,0,0,-1.281706379707917,0.31282226106124356,"MED",-0.36164951602320594,23,"US","NORMAL"
3,"SHORT",1747124999999,102900,1747125119999,102589.9,102589.9,102128.25,"TRAILING_SL",0.8294202000000233,0,0.65,1,1.4404000000000232,0,0.6999028182701765,0,102539.9,102900,103414.5,2.058,1,0,2,0,0,0,0,0,1,0,0,0,0.1,0.2058,0.2050798,1.0295202000000232,0.5002527696793116,1,0,0,0,-1.6606647070388416,0.2736896646280147,"MED",-0.16409743910368219,8,"EU","NORMAL"
4,"LONG",1747158299999,103930.8,1747158359999,103970,103970,104710.281,"TRAILING_SL",-0.2590016000000116,0,0.65,1,0.35679999999998835,0,0.17165267658864927,0,104020,103930.8,103411.14600000001,2.07861599999998,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.2078616,0.20804,-0.05910160000001166,-0.028433149749646995,0,0,0,0,1.246203271028043,0.3544190408117014,"MED",0.8206833518598707,17,"US","NORMAL"
5,"LONG",1747161899999,104108.6,1747162019999,104112.3,104112.3,104889.4145,"TRAILING_SL",-0.40164180000001165,0,0.65,1,0.21479999999998836,0.3316000000000349,0.1031615063500932,0.15925677609728286,104162.3,104025.7,103588.057,2.0821720000000203,2,1,2,1,0.3316000000000349,0,0.15925677609728286,0,0,0,0,0,0.1,0.20821720000000002,0.2083246,-0.20174180000001166,-0.0968900744030799,0,0,0,0,2.8908871265908656,0.3240356858557599,"MED",0.804861965782169,18,"US","NORMAL"
6,"LONG",1747179899999,103930.8,1747179959999,104115,104115,104710.281,"TRAILING_SL",0.32070839999998835,0,0.65,1,0.9367999999999884,0,0.4506844939132565,0,104165,103930.8,103411.14600000001,2.07861599999998,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.2078616,0.20833000000000002,0.5206083999999884,0.2504591516662979,0,0,0,0,1.2526489927748996,0.27899577577407836,"MED",0.42096448731265707,23,"US","NORMAL"
7,"LONG",1747387799999,103505.4,1747387919999,103669.9,103669.9,104281.6905,"TRAILING_SL",0.24364940000000002,0,0.65,1,0.858,0,0.41447112904254124,0,103719.9,103505.4,102987.87299999999,2.0701080000000074,2,0,2,0,0,0,0,0,0,0,0,0,0.1,0.2070108,0.2074398,0.4435493999999999,0.21426389347802063,0,0,0,0,1.691923701059795,0.22423775673932259,"MED",0.16623442755096285,9,"EU","NORMAL"
8,"SHORT",1747490399999,102767.4,1747490519999,102717.9,102717.9,101996.6445,"TRAILING_SL",-0.21297059999999995,0,0.65,1,0.398,0,0.19364117414666537,0,102667.9,102767.4,103281.237,2.055347999999998,1,0,2,0,0,0,0,0,0,0,0,0,0.1,0.2055348,0.2053358,-0.012870599999999982,-0.006262005266261477,0,0,0,0,-1.2100964536168237,0.16862672190928998,"LOW",-0.5374397495590775,13,"OVERLAP","NORMAL"
9,"SHORT",1747751399999,104804.1,1747751459999,104697.9,104697.9,104018.06925,"TRAILING_SL",0.005796000000046542,0,0.65,1,0.6248000000000465,0,0.29807994152902795,0,104647.9,104804.1,105328.1205,2.096081999999995,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.20960820000000002,0.20929579999999998,0.20589600000004654,0.098228981499792,0,0,0,0,1.2364334298475725,0.2731634561437618,"MED",-0.4053445751806097,14,"OVERLAP","NORMAL"
10,"LONG",1747769399999,105900,1747769459999,106405.5,106405.5,106877.54294144617,"TRAILING_SL",1.5973890000000002,0,0.65,1,2.222,0,0.8523922220412099,0,106455.5,105900,105248.30470570255,2.606781177189783,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.21180000000000002,0.21291100000000002,1.7972889999999997,0.6894667706391646,1,0,0,0,1.3209204386474427,0.381183950804494,"MED",1.029198647363484,19,"US","NORMAL"
11,"LONG",1747773899999,106481.4,1747773959999,106817.2,106817.2,107280.01049999999,"TRAILING_SL",0.9166028000000117,0,0.65,1,1.5432000000000117,0,0.724633597980489,0,106867.2,106481.4,105948.99299999999,2.129628000000026,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.21296279999999998,0.2137344,1.1165028000000117,0.5242712811815012,1,0,0,0,1.2743490852689043,0.3984396783966392,"MED",1.2941180684512794,20,"US","NORMAL"
