id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"SHORT",1746970199999,2.3815,1746971099999,2.36363875,2.3934075,2.36363875,"TP",2.92667913617753,0,0.65,0,4.912855999999962,0,2.183497795507024,0,2.3555,2.3815,2.3934075,2.2499935699999924,1,0,1,0,0,0,0,0,1,1,1,0,0.1,0.22499935699999998,0.22254292900000003,4.465313713999962,1.9845895444047768,1,1,0,0,-1.7831225378395252,0.5205915030388807,"HIGH",-1.016336100684033,13,"OVERLAP","NORMAL"
2,"SHORT",1746972899999,2.3576,1746976499999,2.3693880000000003,2.3693880000000003,2.339918,"SL",-2.7011239627680252,0,0.65,0,2.2332024000000508,2.767643999999992,0.9925347811333673,1.23006447234474,2.3459,2.3721,2.3693880000000003,2.2499991360000253,1,4,4,0,0,2.767643999999992,0,1.23006447234474,1,0,0,0,0.1,0.22499991360000005,0.2238833124,1.7843191740000508,0.7930310485239362,1,0,0,0,-2.6646805693478988,0.5649682355351199,"HIGH",-1.509875043460151,14,"OVERLAP","NORMAL"
3,"SHORT",1746978299999,2.3652,1746979199999,2.347461,2.3770260000000003,2.347461,"TP",2.926675933731033,0,0.65,0,6.449746200000008,0,2.8665651953322944,0,2.3313,2.3652,2.3770260000000003,2.249991108000022,1,0,1,0,0,0,0,0,1,1,1,0,0.1,0.22499911080000004,0.22177423770000002,6.002972851500008,2.6679984779299626,1,1,1,0,-1.776184122748507,0.5510765093163319,"HIGH",-1.257545345485044,15,"OVERLAP","NORMAL"
4,"SHORT",1746984599999,2.3576,1746989099999,2.3693880000000003,2.3693880000000003,2.339918,"SL",-2.7011239627680252,0,0.65,0,1.1261448000000032,3.5502191999999484,0.5005089921954488,1.5778758059042688,2.3517,2.3762,2.3693880000000003,2.2499991360000253,5,5,5,0,1.985068799999951,0,0.8822531387851736,0,1,0,0,0,0.1,0.22499991360000005,0.22443684120000004,0.676708045200003,0.3007592466915487,0,0,0,0,-3.416735028712074,0.6235071739601074,"HIGH",-1.0212157613908281,17,"US","MOMENTUM_EXTREME"
5,"LONG",1747190699999,2.5459,1747196999999,2.5649942500000003,2.5331705,2.5649942500000003,"TP",2.9232995633677854,0,0.65,0,4.118368199999978,1.025173200000044,1.8303939667701146,0.45563454966811917,2.5692,2.5401,2.5331705,2.249990042999971,7,2,7,1,1.025173200000044,0,0.45563454966811917,0,1,1,0,0,0.1,0.2249990043,0.22705818839999997,3.666311007299978,1.629478769786727,1,1,0,0,5.145882063277112,0.7322139436774916,"HIGH",0.5213242287732267,2,"ASIA","MOMENTUM_EXTREME"
6,"LONG",1747208699999,2.5719,1747209599999,2.5911892499999998,2.5590405,2.5911892499999998,"TP",2.923297086347612,0,0.65,0,11.180391300000052,0,4.969089000350035,0,2.6358,2.5719,2.5590405,2.2499881364999657,1,0,1,0,0,0,0,0,1,1,1,1,0.1,0.22499881365000002,0.23058900930000004,10.724803477050052,4.766604455849857,1,1,1,1,3.498717537672328,0.5672853740142789,"HIGH",0.9265592162523903,7,"EU","MOMENTUM_EXTREME"
7,"LONG",1747211399999,2.6015,1747213199999,2.578313580400882,2.578313580400882,2.636279629398677,"SL",-4.458711609845144,0,0.65,0,2.871418199999991,6.157981200000013,0.7159363233740224,1.535381512778032,2.6181,2.5659,2.578313580400882,4.0107173029966425,2,2,2,0,1.9546401000000537,0,0.4873542442245,0,1,0,0,0,0.1,0.22499983275000002,0.22643554185000003,2.419982825399991,0.6033790573052555,1,0,0,0,4.709141274238235,0.7778569638215118,"HIGH",1.714085464139663,8,"EU","MOMENTUM_EXTREME"
8,"LONG",1747214999999,2.5841,1747215899999,2.617944304806527,2.5615371301289818,2.617944304806527,"TP",5.44073648467182,0,0.65,0,10.222076699999995,0,2.6016194010585467,0,2.6428,2.5841,2.5615371301289818,3.9291207222089586,1,0,1,0,0,0,0,0,1,1,1,0,0.1,0.22499887905,0.23010991739999997,9.766967903549995,2.4857897209274316,1,1,1,0,1.9906369251347322,0.8824004977201131,"HIGH",1.0851434265847222,9,"EU","NORMAL"
9,"LONG",1747217699999,2.6161,1747227599999,2.586847185044989,2.586847185044989,2.6599792224325167,"SL",-5.479288027349798,0,0.65,0,1.806115499999992,5.469949800000008,0.3589398154040309,1.087074869509357,2.6266,2.5843,2.586847185044989,5.031805953226412,1,11,11,0,0,5.469949800000008,0,1.087074869509357,0,0,0,0,0.1,0.22499898854999997,0.22590204629999996,1.3552144651499922,0.2693296358698061,0,0,0,0,3.307216819559829,0.9848971575404286,"HIGH",2.0817615767247304,10,"EU","MOMENTUM_EXTREME"
10,"SHORT",1747304099999,2.4704,1747305899999,2.4510329643732627,2.483311357084492,2.4510329643732627,"TP",3.079587470094803,0,0.65,0,3.825276000000064,0.8379175999999886,1.6264750376414188,0.35627548443572854,2.4494,2.475,2.483311357084492,2.3518811610826607,2,1,2,1,0.8379175999999886,0,0.35627548443572854,0,1,1,0,0,0.1,0.2249990912,0.2230864532,3.377190455600064,1.4359528497797969,1,1,0,0,-6.20069362399482,0.6651710662131655,"HIGH",-2.5854257755773804,10,"EU","MOMENTUM_EXTREME"
