id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1746614699999,96822.1,1746615599999,97019.6,97019.6,97548.26575,"TRAILING_SL",0.4023166,0,0.65,1,0.99,0,0.5112469157351522,0,97069.6,96822.1,96337.98950000001,1.936441999999981,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.19364420000000002,0.1941392,0.6022166,0.3109912922772827,0,0,0,0,3.172349693303734,0.16710956125103954,"LOW",1.2497198938794796,10,"EU","MOMENTUM_EXTREME"
2,"LONG",1746625499999,96690.5,1746626399999,97171.3,97171.3,97415.67875,"TRAILING_SL",1.5354764000000118,0,0.65,1,2.1232000000000117,0,1.0979361984890006,0,97221.3,96690.5,96207.0475,1.9338099999999978,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.193381,0.1944426,1.7353764000000118,0.8973872303897559,1,0,0,0,3.492902911142893,0.18478167469334686,"LOW",1.124124148335252,13,"OVERLAP","MOMENTUM_EXTREME"
3,"LONG",1746746099999,102850.2,1746746999999,103121.7,103121.7,103621.5765,"TRAILING_SL",0.6740562000000001,0,0.65,1,1.286,0.33359999999997675,0.6251810886123655,0.1621776136555759,103171.7,102766.8,102335.949,2.0570040000000156,1,1,1,0,0,0,0,0,1,0,0,0,0.1,0.2057004,0.2063434,0.8739562000000001,0.4248684980680609,0,0,0,0,5.8200596033295655,0.5051709659292649,"HIGH",2.621736429476457,23,"US","MOMENTUM_EXTREME"
4,"LONG",1746798299999,102851,1746799199999,103685.1,103685.1,103622.3825,"TRAILING_SL",2.923327800000023,0,0.65,1,3.5364000000000235,0,1.719186006942077,0,103735.1,102851,102336.745,2.0570200000000187,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.205702,0.20747020000000002,3.1232278000000235,1.518326413938608,1,1,0,0,3.9909844918751674,0.35121534514009684,"MED",0.9035485280116985,13,"OVERLAP","MOMENTUM_EXTREME"
5,"LONG",1746994499999,104221.6,1746995399999,104350,104350,105003.262,"TRAILING_SL",0.0964567999999767,0,0.65,1,0.7135999999999767,0.017600000000034925,0.3423474596436758,0.008443547210959707,104400,104217.2,103700.49200000001,2.0844319999999716,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.20844320000000002,0.2088,0.29635679999997666,0.1421762859138512,0,0,0,0,1.150514780495044,0.27505013648721355,"MED",0.29515280933765503,20,"US","NORMAL"
6,"SHORT",1747094399999,102900,1747095299999,102552.9,102552.9,102128.25,"TRAILING_SL",0.9774942000000234,0,0.65,1,1.5884000000000233,0,0.771817298347922,0,102502.9,102900,103414.5,2.058,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.2058,0.2050058,1.1775942000000235,0.572203206997096,1,0,0,0,-1.281706379707917,0.31282226106124356,"MED",-0.36244443327258713,23,"US","NORMAL"
7,"SHORT",1747124999999,102900,1747125899999,102577.3,102577.3,102128.25,"TRAILING_SL",0.8798453999999883,0,0.65,1,1.4907999999999884,0,0.724392614188527,0,102527.3,102900,103414.5,2.058,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.2058,0.20505460000000003,1.0799453999999884,0.5247548104956212,1,0,0,0,-1.6606647070388416,0.2736896646280147,"MED",-0.16450162565584736,8,"EU","NORMAL"
8,"LONG",1747158299999,103930.8,1747159199999,104210.2,104210.2,104710.281,"TRAILING_SL",0.7013179999999768,0,0.65,1,1.3175999999999768,0,0.6338833146670619,0,104260.2,103930.8,103411.14600000001,2.07861599999998,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.2078616,0.2085204,0.9012179999999768,0.43356637300972645,0,0,0,0,1.246203271028043,0.3544190408117014,"MED",0.8205669502384404,17,"US","NORMAL"
9,"LONG",1747161899999,104108.6,1747162799999,104271,104271,104889.4145,"TRAILING_SL",0.23284079999997676,0,0.65,1,0.8495999999999767,0.3316000000000349,0.40803545528417845,0.15925677609728286,104321,104025.7,103588.057,2.0821720000000203,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.20821720000000002,0.208642,0.4327407999999767,0.20783143755653832,0,0,0,0,2.8908871265908656,0.3240356858557599,"MED",0.8047749589819113,18,"US","NORMAL"
10,"LONG",1747179899999,103930.8,1747180799999,104202.8,104202.8,104710.281,"TRAILING_SL",0.6717328,0,0.65,1,1.288,0,0.6196430701967138,0,104252.8,103930.8,103411.14600000001,2.07861599999998,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.2078616,0.2085056,0.8716328,0.41933324866161353,0,0,0,0,1.2526489927748996,0.27899577577407836,"MED",0.42089914927344996,23,"US","NORMAL"
