id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1746608399999,96930,1746608879999,96973.5,96973.5,97656.975,"TRAILING_SL",-0.213807,0,0.65,1,0.374,0,0.19292272774167155,0,97023.5,96930,96445.35,1.9385999999999768,5,0,8,0,0,0,0,0,0,0,0,0,0.1,0.19386,0.194047,-0.013907000000000003,-0.007173733622201676,0,0,0,0,2.8025257605742735,0.18343888397856967,"LOW",1.3334046747382193,8,"EU","NORMAL"
2,"LONG",1746614699999,96822.1,1746615059999,97019,97019,97548.26575,"TRAILING_SL",0.39991779999997673,0,0.65,1,0.9875999999999767,0,0.5100075292727521,0,97069,96822.1,96337.98950000001,1.936441999999981,6,0,6,0,0,0,0,0,1,0,0,0,0.1,0.19364420000000002,0.194138,0.5998177999999766,0.3097525255081136,0,0,0,0,3.172349693303734,0.16710956125103954,"LOW",1.2497198938794796,10,"EU","MOMENTUM_EXTREME"
3,"LONG",1746625499999,96690.5,1746625559999,97171.3,97171.3,97415.67875,"TRAILING_SL",1.5354764000000118,0,0.65,1,2.1232000000000117,0,1.0979361984890006,0,97221.3,96690.5,96207.0475,1.9338099999999978,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.193381,0.1944426,1.7353764000000118,0.8973872303897559,1,0,0,0,3.492902911142893,0.18478167469334686,"LOW",1.124124148335252,13,"OVERLAP","MOMENTUM_EXTREME"
4,"LONG",1746746099999,102850.2,1746746219999,102959.5,102959.5,103621.5765,"TRAILING_SL",0.02558060000001161,0,0.65,1,0.6372000000000116,0,0.309770909536397,0,103009.5,102850.2,102335.949,2.0570040000000156,2,0,2,0,0,0,0,0,0,0,0,0,0.1,0.2057004,0.206019,0.22548060000001163,0.10961602408163033,0,0,0,0,5.8200596033295655,0.5051709659292649,"HIGH",2.621736429476457,23,"US","MOMENTUM_EXTREME"
5,"LONG",1746798299999,102851,1746798359999,103395.4,103395.4,103622.3825,"TRAILING_SL",1.765107199999977,0,0.65,1,2.3775999999999766,0,1.1558468075176493,0,103445.4,102851,102336.745,2.0570200000000187,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.205702,0.20689079999999999,1.9650071999999765,0.9552688841138922,1,0,0,0,3.9909844918751674,0.35121534514009684,"MED",0.9035485280116985,13,"OVERLAP","MOMENTUM_EXTREME"
6,"LONG",1746873899999,103687.4,1746874019999,103700,103700,104465.05549999999,"TRAILING_SL",-0.3643747999999767,0,0.65,1,0.25040000000002327,0.005599999999976717,0.12074755466914046,0.0027004245453047617,103750,103686,103168.96299999999,2.0737480000000215,2,1,2,1,0.005599999999976717,0,0.0027004245453047617,0,0,0,0,0,0.1,0.2073748,0.20750000000000002,-0.16447479999997675,-0.07931281910819205,0,0,0,0,0.4346293106955538,0.2136902889662483,"MED",0.5007599501071786,10,"EU","CONSOLIDATION"
7,"LONG",1746951299999,103395.5,1746951359999,103864.8,103864.8,104170.96625,"TRAILING_SL",1.4626794000000118,0,0.65,1,2.0772000000000115,0,1.004492458569298,0,103914.8,103395.5,102878.5225,2.0679099999999746,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.206791,0.2078296,1.6625794000000116,0.8039902123400109,1,0,0,0,-0.024474968563149926,0.26869934798206174,"MED",0.08210441550923031,8,"EU","CONSOLIDATION"
8,"LONG",1746994499999,104221.6,1746994619999,104334.4,104334.4,105003.262,"TRAILING_SL",0.03408799999995338,0,0.65,1,0.6511999999999535,0,0.3124112468048669,0,104384.4,104221.6,103700.49200000001,2.0844319999999716,1,0,2,0,0,0,0,0,0,0,0,0,0.1,0.20844320000000002,0.2087688,0.23398799999995343,0.11225504118146172,0,0,0,0,1.150514780495044,0.27505013648721355,"MED",0.29515280933765503,20,"US","NORMAL"
9,"LONG",1747000799999,104084.3,1747000859999,104343.5,104343.5,104864.93225,"TRAILING_SL",0.6199443999999884,0,0.65,1,1.2367999999999884,0,0.5941337934731732,0,104393.5,104084.3,103563.8785,2.081685999999987,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.2081686,0.208787,0.8198443999999883,0.3938367265764353,0,0,0,0,0.6144286594520448,0.25670373953714687,"MED",0.23300467919374132,21,"US","CONSOLIDATION"
10,"LONG",1747053899999,103891.2,1747053959999,104019.8,104019.8,104670.38399999999,"TRAILING_SL",0.09857800000002326,0,0.65,1,0.7144000000000233,0,0.34382122836198625,0,104069.8,103891.2,103371.74399999999,2.0778240000000223,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.2077824,0.2081396,0.29847800000002334,0.14364931774780737,0,0,0,0,-0.44482836799646436,0.29791437482285554,"MED",-0.09337011610358363,12,"OVERLAP","CONSOLIDATION"
