id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1634351399999,159.635,1634368979999,158.11787200617334,158.11787200617334,161.91069199073996,"SL",-4.7229804832601925,0,0.65,0,1.4512700000000416,6.777290000000003,0.3394571862727492,1.585232102885318,160.15,157.23,158.11787200617334,4.275266686603494,15,293,293,0,0,6.777290000000003,0,1.585232102885318,0,0,0,0,0.1,0.224925715,0.22565135,1.0006929350000418,0.23406561703757642,0,0,0,0,7.128487124463516,0.745180999116665,"HIGH",0.5380149414113179,2,"ASIA","MOMENTUM_EXTREME"
2,"LONG",1634384699999,162.405,1634387399999,161.25133272161315,161.25133272161315,164.13550091758026,"SL",-3.6439223819510036,0,0.65,0,2.742300000000025,3.310149999999981,0.8581330324149506,1.035827246197829,163.395,161.21,161.25133272161315,3.1956583611315694,4,45,45,0,0,3.310149999999981,0,1.035827246197829,1,0,0,0,0.1,0.224930925,0.22630207500000002,2.2910670000000253,0.7169311425357646,1,0,0,0,2.910353535353526,0.7232015998749094,"HIGH",2.074562881481208,11,"EU","NORMAL"
3,"LONG",1634447699999,162.405,1634448299999,161.28059722736003,161.28059722736003,164.09160415895997,"SL",-3.5629002323726047,0,0.65,0,0.5401499999999811,3.3378500000000346,0.1734253994608673,1.0716800325659208,162.6,161.2,161.28059722736003,3.114595680212711,4,10,10,0,0,3.3378500000000346,0,1.0716800325659208,0,0,0,0,0.1,0.224930925,0.22520099999999998,0.09001807499998116,0.028902009840915652,0,0,0,0,2.2104832877401597,0.6653187568243075,"HIGH",1.649943741609414,5,"ASIA","NORMAL"
4,"LONG",1634462999999,166.255,1634469839999,164.55009416055387,164.55009416055387,168.81235875916917,"SL",-5.061054493940449,0,0.65,0,2.0159700000000123,5.03315999999996,0.43697427902647856,1.0909693409251526,167,164.395,164.55009416055387,4.6134752015412195,4,114,114,0,0.013529999999987694,5.03315999999996,0.002932713282054218,1.0909693409251526,0,0,0,0,0.1,0.224943015,0.22595099999999999,1.5650759850000122,0.33924014254529183,0,0,0,0,2.4475847418490777,0.7911724955846607,"HIGH",3.308751311711792,9,"EU","NORMAL"
5,"SHORT",1634534999999,160.525,1634536739999,161.327625,161.327625,159.3210625,"SL",-2.700834328937517,0,0.65,0,1.4715750000000158,2.2704300000000064,0.6541037221616591,1.0091885999065517,160,161.335,161.327625,2.249757875000017,18,29,29,0,0.07007500000001593,2.2704300000000064,0.031147796293419086,1.0091885999065517,1,0,0,0,0.1,0.2249757875,0.22424000000000002,1.0223592125000158,0.45443077402274146,0,0,0,0,-0.9738151915169981,0.579435342454645,"HIGH",-0.4448175209903275,5,"ASIA","CONSOLIDATION"
6,"SHORT",1634539499999,160.525,1634541299999,161.327625,161.327625,159.3210625,"SL",-2.700834328937517,0,0.65,0,0.9109750000000478,2.424594999999946,0.40492135181437733,1.0777137517520312,160.2,161.39,161.327625,2.249757875000017,12,30,30,0,0.3784049999999745,2.424594999999946,0.16819809998441348,1.0777137517520312,0,0,0,0,0.1,0.2249757875,0.2245203,0.4614789125000478,0.205123812490286,0,0,0,0,-1.230314960629921,0.5592501540983132,"HIGH",-0.19586221209438792,6,"ASIA","NORMAL"
7,"SHORT",1634557499999,158.46,1634557559999,157.27155000000002,159.25230000000002,157.27155000000002,"TP",2.9258286147749684,0,0.65,0,3.477774999999984,0,1.54613151583993,0,157.235,158.46,159.25230000000002,2.2493397000000326,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.22493397,0.22319508250000003,3.0296459474999837,1.3469045815978529,1,1,0,0,-4.023794996949358,0.6446573015832182,"HIGH",-1.702832122966964,11,"EU","MOMENTUM_EXTREME"
8,"SHORT",1634560199999,157.585,1634562119999,156.40311250000002,158.372925,156.40311250000002,"TP",2.926070781906215,0,0.65,0,3.7686000000000615,0.8136749999999903,1.675286353396604,0.36170955357425655,156.265,157.87,158.372925,2.249525875000004,32,19,32,1,0.8136749999999903,0,0.36170955357425655,0,1,1,0,0,0.1,0.22495258750000002,0.22306828749999996,3.320579125000062,1.4761239965733028,1,1,0,0,-4.737337258353317,0.6632104247606176,"HIGH",-1.7577942929440495,12,"OVERLAP","MOMENTUM_EXTREME"
9,"SHORT",1634585399999,156.62,1634600039999,157.98066646999317,157.98066646999317,154.57900029501025,"SL",-4.361118625674502,0,0.65,0,2.643160000000046,4.410054999999991,0.6761392452072689,1.1281236319490624,155.7,158.155,157.98066646999317,3.909194768290357,179,244,244,0,3.0741099999999806,4.410054999999991,0.7863793395345222,1.1281236319490624,1,0,0,0,0.1,0.22498463000000002,0.22366305,2.1945123200000465,0.5613719576729589,1,0,0,0,-2.362943051822217,0.6203266747618952,"HIGH",-1.410495020871317,19,"US","NORMAL"
10,"SHORT",1634603399999,157.345,1634613299999,158.131725,158.131725,156.16491249999999,"SL",-2.7002207533874714,0,0.65,0,3.216375,2.3014950000000196,1.4299787092059035,1.0232292096984552,156.22,158.15,158.131725,2.249246774999971,47,165,165,0,0,2.3014950000000196,0,1.0232292096984552,1,1,0,0,0.1,0.2249246775,0.22331648999999998,2.7681338325000002,1.230693698560504,1,1,0,0,-1.9436892597106248,0.5271694456192203,"HIGH",-0.6130328670432541,0,"ASIA","NORMAL"
11,"SHORT",1634639399999,157.4,1634653019999,156.2195,158.187,156.2195,"TP",2.9257067344999856,0,0.65,0,3.958330000000055,1.8577000000000163,1.7598475222363512,0.8259212198221101,156.015,158.05,158.187,2.2492460000000176,227,186,227,1,1.8577000000000163,0,0.8259212198221101,0,1,1,0,0,0.1,0.22492460000000003,0.22294543499999997,3.510459965000055,1.560727445997471,1,1,0,0,-0.19048828497048154,0.46850783105440685,"HIGH",-0.3511372541687225,10,"EU","CONSOLIDATION"
12,"SHORT",1634659199999,155.94,1634672819999,154.77045,156.7197,154.77045,"TP",2.9259519258749616,0,0.65,0,4.471750000000032,2.00507499999998,1.9879440810568538,0.8913684750545096,154.39,156.635,156.7197,2.2494344999999742,227,76,227,1,2.00507499999998,0,0.8913684750545096,0,1,1,0,0,0.1,0.22494345,0.22270757499999996,4.024098975000032,1.78893805309738,1,1,0,0,-0.6889512630773055,0.4139075992437534,"HIGH",-1.0060178832561641,15,"OVERLAP","CONSOLIDATION"
13,"SHORT",1634690699999,156.785,1634721479999,157.94819086662116,157.94819086662116,155.04021370006825,"SL",-3.789999916096343,0,0.65,0,4.362400000000029,4.175850000000036,1.3067502880376842,1.2508695191413384,155.265,158.24,157.94819086662116,3.338357787202742,307,513,513,0,1.1910499999999773,4.175850000000036,0.35677721679975327,1.2508695191413384,1,1,0,0,0.1,0.22498647500000002,0.222805275,3.91460825000003,1.1726149500830276,1,1,0,0,-0.09581909355136049,0.47569906672454926,"HIGH",0.042525538300579625,0,"ASIA","CONSOLIDATION"
14,"LONG",1634813099999,191.17,1634816759999,187.22352938944857,187.22352938944857,197.0897059158271,"SL",-9.731225333954168,0,0.65,0,7.576659999999998,9.317879999999953,0.8159189102766657,1.0034282250607394,194.39,187.21,187.22352938944857,9.286045346627482,46,61,61,0,1.0706149999999626,9.317879999999953,0.11529288949561181,1.0034282250607394,1,0,0,0,0.1,0.224911505,0.22869983500000002,7.1230486599999985,0.7670701998657541,1,0,0,0,21.1933506099488,1.141251365653869,"HIGH",7.110312224583913,10,"EU","MOMENTUM_EXTREME"
15,"LONG",1634832899999,182.535,1634832959999,184.53665632979664,181.20056244680222,184.53665632979664,"TP",4.481667036522257,0,0.65,0,7.296400000000019,0,2.2181629952685498,0,185.495,182.535,181.20056244680222,3.289388568632511,1,0,1,0,0,0,0,0,1,1,1,0,0.1,0.22497438749999998,0.22862258749999997,6.842803025000019,2.080265946763705,1,1,1,0,9.850958969182354,1.6836712670230112,"HIGH",1.550346421544632,16,"US","MOMENTUM_EXTREME"
16,"LONG",1634849099999,183.765,1634860979999,191.6507474282393,178.50783504784044,191.6507474282393,"TP",18.844800829477673,0,0.65,0,20.869200000000014,0,1.621596445532511,0,192.29,183.765,178.50783504784044,12.869539802886559,198,0,198,0,0,0,0,0,1,1,0,0,0.1,0.22492835999999997,0.23536295999999998,20.408908680000014,1.5858304953081865,1,1,0,0,7.224411730613194,1.3912506007216867,"HIGH",1.4504898551257506,20,"US","MOMENTUM_EXTREME"
17,"LONG",1634864399999,198.49,1634864639999,203.5991133369164,195.08392444205575,203.5991133369164,"TP",11.126591924822037,0,0.65,0,11.584369999999966,0,1.5002603180899858,0,203.6,198.49,195.08392444205575,7.721573289859643,4,0,4,0,0,0,0,0,1,1,0,0,0.1,0.224988415,0.2307806,11.128600984999967,1.441234909939222,1,1,0,0,7.8609323243476155,1.6246805119082774,"HIGH",8.054458265920392,0,"ASIA","MOMENTUM_EXTREME"
18,"LONG",1634869799999,202.4,1634869979999,201.35655355793372,201.35655355793372,203.96516966309943,"SL",-2.7683568499929914,0,0.65,0,0.4334849999999848,3.0899700000000325,0.18688069855683698,1.3321239538154628,202.595,201.01,201.35655355793372,2.319581440713348,1,3,3,0,0,3.0899700000000325,0,1.3321239538154628,0,0,0,0,0.1,0.22496760000000002,0.2251843425,-0.016666942500015214,-0.0071853232688780175,0,0,0,0,9.893120659722229,1.5525765710815713,"HIGH",8.425960418610202,2,"ASIA","MOMENTUM_EXTREME"
19,"LONG",1634900399999,202.09,1634902439999,204.34655854853077,200.58562763431283,204.34655854853077,"TP",4.570735439364962,0,0.65,0,5.720819999999985,0,1.7083536354551792,0,204.66,202.09,200.58562763431283,3.348732886019651,34,0,34,0,0,0,0,0,1,1,0,0,0.1,0.22492617,0.22778658,5.268107249999985,1.5731643667350632,1,1,0,0,5.91810119979134,0.9183060662861197,"HIGH",3.475162261161372,10,"EU","MOMENTUM_EXTREME"
20,"LONG",1634917499999,207.7,1634919299999,203.22247898966043,203.22247898966043,214.41628151550933,"SL",-10.143339553141283,0,0.65,0,5.859030000000027,10.959960000000004,0.6041289351303069,1.1300896161772052,210.405,202.64,203.22247898966043,9.698310508395481,3,30,30,0,0,10.959960000000004,0,1.1300896161772052,1,0,0,0,0.1,0.22493909999999998,0.227868615,5.406222285000027,0.557439595310962,1,0,0,0,14.818584435947518,1.697046814150404,"HIGH",4.239778807695699,15,"OVERLAP","MOMENTUM_EXTREME"
21,"LONG",1634921099999,207.7,1634925599999,203.10080389068705,203.10080389068705,214.5987941639694,"SL",-10.406756043385446,0,0.65,0,5.13342000000001,10.775849999999988,0.5153074458384099,1.0817107776565746,210.07,202.725,203.10080389068705,9.961858772771832,1,75,75,0,0,10.775849999999988,0,1.0817107776565746,1,0,0,0,0.1,0.22493909999999998,0.22750581,4.680975090000009,0.46988972608146645,0,0,0,0,14.541533589932584,1.881468238501681,"HIGH",4.484922987851161,16,"US","MOMENTUM_EXTREME"
22,"SHORT",1635037199999,198.085,1635042779999,196.13978303215768,199.3818113118949,196.13978303215768,"TP",3.969945492836911,0,0.65,0,4.848585000000043,1.964414999999956,1.6463459104782046,0.6670207084607036,195.95,198.95,199.3818113118949,2.9450584893132836,93,40,93,1,1.964414999999956,0,0.6670207084607036,0,1,1,0,0,0.1,0.2249255175,0.22250122499999997,4.401158257500043,1.494421341195939,1,1,0,0,-0.31809345888768037,0.7459563748172539,"HIGH",-0.3563551873295304,0,"ASIA","CONSOLIDATION"
23,"SHORT",1635057899999,194.61,1635058319999,193.1064135285614,195.61239098095908,193.1064135285614,"TP",3.0280917479270477,0,0.65,0,3.6529600000000286,0,1.576231261067719,0,193.03,194.61,195.61239098095908,2.3175279479773545,7,0,7,0,0,0,0,0,1,1,0,0,0.1,0.22496916,0.22314267999999998,3.2048481600000285,1.3828735756119324,1,1,0,0,-3.9362466846788777,0.52017542847645,"HIGH",-1.8636888854941773,6,"ASIA","MOMENTUM_EXTREME"
24,"SHORT",1635060599999,194.61,1635061619999,195.62494712342982,195.62494712342982,193.0875793148553,"SL",-2.797669348244397,0,0.65,0,0.6011200000000446,2.520079999999942,0.2561709807318853,1.073947573068184,194.35,195.7,195.62494712342982,2.346557749369712,1,17,17,0,0,2.520079999999942,0,1.073947573068184,0,0,0,0,0.1,0.22496916,0.22466859999999997,0.15148224000004465,0.06455508714444934,0,0,0,0,-2.8965241709948115,0.5399216955184468,"HIGH",-1.3481180996172317,7,"EU","NORMAL"
