id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1686144599999,26733.3,1686144659999,26735.1,26735.1,26933.79975,"TRAILING_SL",-0.39894720000001166,0,0.65,1,0.8287999999999883,0.2767999999999884,0.38753165527637456,0.1294265952950018,26785.1,26716,26599.6335,2.1386639999999897,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.2138664,0.2142808,0.4006527999999883,0.1873378894487354,0,0,0,0,4.751385543348407,0.4020025516459488,"HIGH",0.15888565359185872,13,"OVERLAP","MOMENTUM_EXTREME"
2,"SHORT",1686158999999,26430,1686168839999,26406.3,26406.3,26230.498881831503,"TRAILING_SL",-0.046208549999987636,0,0.65,1,1.2529000000000126,2.0094000000000127,0.5541322325152664,0.88871682338269,26356.3,26548.2,26563.000745445665,2.261012672576297,164,15,164,1,2.0094000000000127,0,0.88871682338269,0,1,0,0,0,0.1,0.22465500000000002,0.22402855000000002,0.8042164500000125,0.3556886079208274,0,0,0,0,-1.0410069812671179,0.585692733937762,"HIGH",-0.8085122617685847,17,"US","NORMAL"
3,"SHORT",1686172499999,26396.6,1686174599999,26382.9,26382.9,26198.6255,"TRAILING_SL",-0.2157257500000495,0,0.65,1,1.0828999999999507,0.8517000000000372,0.48263791548909335,0.3795943416955374,26332.9,26446.7,26528.583,2.2437110000000033,29,13,35,1,0.8517000000000372,0,0.3795943416955374,0,0,0,0,0,0.1,0.22437110000000002,0.22382965000000002,0.6346992499999506,0.28287923444683816,0,0,0,0,-2.3121793520275444,0.40565452390529916,"HIGH",-0.5779909220867363,21,"US","NORMAL"
4,"SHORT",1686176999999,26329.1,1686177599999,26264.8,26264.8,26131.631749999997,"TRAILING_SL",0.6460518499999878,0,0.65,1,1.9430999999999878,0,0.8682408437812184,0,26214.8,26329.1,26460.745499999997,2.2379734999999785,8,0,10,0,0,0,0,0,1,0,0,0,0.1,0.22379735,0.22282580000000002,1.4964768499999879,0.668674964203107,1,0,0,0,-2.8763622781617584,0.46469116198070554,"HIGH",-0.9867200084758279,22,"US","NORMAL"
5,"SHORT",1686211199999,26430,1686221039999,26409.5,26409.5,26231.775,"TRAILING_SL",-0.10063575000000002,0,0.65,1,1.1985000000000001,0.459,0.5334846765039669,0.20431328036322136,26359.5,26457,26562.15,2.246550000000025,126,55,164,1,0.459,0,0.20431328036322136,0,1,0,0,0,0.1,0.22465500000000002,0.22405575000000003,0.7497892500000001,0.3337514188422211,0,0,0,0,-1.3141242220720601,0.25767203095889013,"MED",-0.002311288194683109,7,"EU","NORMAL"
6,"SHORT",1686383999999,25689.6,1686384179999,25607,25607,25496.928,"TRAILING_SL",0.9681788999999754,0,0.65,1,2.2541999999999756,0,1.0323243647234541,0,25557,25689.6,25818.048,2.1836160000000056,3,0,3,0,0,0,0,0,1,1,0,0,0.1,0.21836160000000002,0.21723450000000002,1.8186038999999754,0.8328405269058162,1,0,0,0,-3.159795138311863,0.48853149245318206,"HIGH",-2.0828201407383817,7,"EU","MOMENTUM_EXTREME"
7,"SHORT",1686399299999,25689.6,1686401159999,25652,25652,25496.928,"TRAILING_SL",0.20279639999997534,0,0.65,1,1.4891999999999754,0,0.6819880418534997,0,25602,25689.6,25818.048,2.1836160000000056,23,0,31,0,0,0,0,0,1,0,0,0,0.1,0.21836160000000002,0.21761700000000003,1.0532213999999755,0.48232903587442705,0,0,0,0,-3.677359297934796,0.2743153090448587,"MED",-1.3989035342089415,12,"OVERLAP","MOMENTUM_EXTREME"
8,"SHORT",1686406499999,25662.9,1686413159999,25634,25634,25470.42825,"TRAILING_SL",0.05527635000002473,0,0.65,1,1.3413000000000248,0.4096999999999753,0.6148954327063676,0.18781977095338773,25584,25687,25791.214500000002,2.181346500000007,97,4,111,1,0.4096999999999753,0,0.18781977095338773,0,1,0,0,0,0.1,0.21813465,0.21746400000000002,0.9057013500000247,0.41520288042272135,0,0,0,0,-3.6979327020552755,0.23822865985287456,"MED",-1.1850956105036832,14,"OVERLAP","MOMENTUM_EXTREME"
9,"SHORT",1686415499999,25622.4,1686416639999,25405,25405,25430.232,"TRAILING_SL",3.262067100000025,0,0.65,1,4.545800000000025,0,2.0872361683526863,0,25355,25622.4,25750.512000000002,2.177904000000017,19,0,19,0,0,0,0,0,1,1,1,0,0.1,0.21779040000000005,0.21551750000000003,4.112492100000025,1.8882797864368641,1,1,0,0,-3.2433229039132967,0.1979164972842319,"LOW",-1.1412117061317064,16,"US","MOMENTUM_EXTREME"
10,"SHORT",1686426299999,25676,1686429239999,25804.38,25804.38,25483.43,"SL",-2.6200432300000176,0,0.65,0,0.5031999999999753,3.2419000000000127,0.2305655086461934,1.4854338682037638,25646.4,25866.7,25804.38,2.1824600000000176,2,49,49,0,0,3.2419000000000127,0,1.4854338682037638,0,0,0,0,0.1,0.21824600000000002,0.21799440000000003,0.06695959999997525,0.03068079140051809,0,0,0,0,-2.9251826820103157,0.5613102925323913,"HIGH",-0.7732276134323204,19,"US","NORMAL"
