id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1685700899999,0.514,1685709059999,0.51143,0.51143,0.5178550000000001,"SL",-2.698873824489966,0,0.65,0,1.575874800000021,4.815173000000053,0.7003891050583856,2.140077821011729,0.5158,0.5085,0.51143,2.249999019999966,47,136,136,0,0.6128402000000297,4.815173000000053,0.2723735408560484,2.140077821011729,1,0,0,0,0.1,0.224999902,0.22578783940000002,1.125087058600021,0.5000389105058535,1,0,0,0,1.8012668250197934,0.3133873223740538,"MED",0.5142283230809577,10,"EU","NORMAL"
2,"LONG",1685726999999,0.5171,1685731379999,0.52097825,0.5145145,0.52097825,"TP",2.9233095942273506,0,0.65,0,4.612256099999975,0.5221422000000391,2.0498936375942503,0.23206343067106583,0.5224,0.5165,0.5145145,2.2499977635000157,73,2,73,1,0.5221422000000391,0,0.23206343067106583,0,1,1,1,0,0.1,0.22499977634999999,0.22730590439999998,4.159950419249975,1.8488686907754548,1,1,0,0,2.133122654552643,0.32206470942075716,"MED",0.640589561463188,17,"US","NORMAL"
3,"LONG",1685745899999,0.5245,1685752259999,0.5218775,0.5218775,0.5284337499999999,"SL",-2.698871974261226,0,0.65,0,0.8579590000000007,2.402285199999926,0.38131553860820266,1.0676835081029337,0.5255,0.5217,0.5218775,2.249997477499976,2,106,106,0,0,2.402285199999926,0,1.0676835081029337,0,0,0,0,0.1,0.22499974774999998,0.22542872725,0.40753052500000075,0.18112488083889644,0,0,0,0,3.0427954456223145,0.3640090193883997,"MED",1.4257355795560125,22,"US","MOMENTUM_EXTREME"
4,"LONG",1685759399999,0.5213,1685775779999,0.5269988941470924,0.5175007372352717,0.5269988941470924,"TP",4.466974168418526,0,0.65,0,5.352001199999986,0.17264519999998099,1.6318955502524606,0.052641791943622104,0.5275,0.5211,0.5175007372352717,3.2796223993453566,273,19,273,1,0.17264519999998099,0,0.052641791943622104,0,1,1,0,0,0.1,0.2249998569,0.2276758575,4.899325485599985,1.493868771776268,1,1,0,0,1.4582928251993121,0.3189362237948035,"MED",0.5190634406217087,2,"ASIA","NORMAL"
5,"LONG",1685779199999,0.5233,1685795759999,0.5206835,0.5206835,0.52722475,"SL",-2.6988737951022688,0,0.65,0,1.633861300000011,2.321802900000031,0.7261609019682772,1.031912860691769,0.5252,0.5206,0.5206835,2.2499989955000186,17,276,276,0,0,2.321802900000031,0,1.031912860691769,1,0,0,0,0.1,0.22499989955000002,0.2258168302,1.183044570250011,0.5257978215172946,1,0,0,0,1.7465554046186704,0.42128133778882926,"HIGH",0.5518170061078187,7,"EU","NORMAL"
6,"SHORT",1685837699999,0.5194,1685840639999,0.5155044999999999,0.5219969999999999,0.5155044999999999,"TP",2.9266865218360447,0,0.65,0,3.5521743999999935,0,1.5787447054293626,0,0.5153,0.5194,0.5219969999999999,2.2499992479999658,49,0,49,0,0,0,0,0,1,1,0,0,0.1,0.2249999248,0.2232238376,3.1039506375999935,1.3795340777820744,1,1,0,0,-0.8411393614987497,0.2637039762576585,"MED",-0.3602919148045313,0,"ASIA","CONSOLIDATION"
7,"LONG",1685858399999,0.5211,1685865479999,0.52500825,0.5184945,0.52500825,"TP",2.923309594227329,0,0.65,0,3.540583699999994,0,1.5735943197082836,0,0.5252,0.5211,0.5184945,2.249997763500033,118,0,118,0,0,0,0,0,1,1,0,0,0.1,0.22499977635,0.2267700682,3.088813855449994,1.3728075225484324,1,1,0,0,-0.7802093244529006,0.22518838914842185,"MED",0.13786484897454857,5,"ASIA","CONSOLIDATION"
8,"LONG",1685871899999,0.5231,1685890019999,0.52702325,0.5204845,0.52702325,"TP",2.923311938724038,0,0.65,0,5.419612799999976,0,2.408717262473711,0,0.5294,0.5231,0.5204845,2.2499995679999936,302,0,302,0,0,0,0,0,1,1,1,0,0.1,0.2249999568,0.2277097632,4.966903079999977,2.2075129038424737,1,1,1,0,0.44078190877730333,0.26554034475143345,"MED",0.4839025820200901,9,"EU","CONSOLIDATION"
9,"LONG",1685905199999,0.5337,1685908619999,0.53770275,0.5310315,0.53770275,"TP",2.923311389141296,0,0.65,0,4.8903860000000225,0,2.173505714821101,0,0.5395,0.5337,0.5310315,2.2499991449999683,57,0,57,0,0,0,0,0,1,1,1,0,0.1,0.22499991449999995,0.2274451075,4.4379409780000225,1.9724189619636878,1,1,0,0,2.944572748267916,0.4172325262897876,"HIGH",1.497515762397135,18,"US","NORMAL"
10,"LONG",1685913299999,0.5375,1685913479999,0.54153125,0.5348125,0.54153125,"TP",2.9233114443594097,0,0.65,0,3.683719600000059,0,1.6372093023256358,0,0.5419,0.5375,0.5348125,2.249999187499961,3,0,3,0,0,0,0,0,1,1,0,0,0.1,0.22499991874999997,0.22684177855,3.231877902700059,1.4363906976744696,1,1,0,0,3.8195777351247657,0.5590554461175574,"HIGH",2.1399064019902196,21,"US","MOMENTUM_EXTREME"
11,"LONG",1685924099999,0.5359,1685924699999,0.5399192500000001,0.5332205000000001,0.5399192500000001,"TP",2.923309363610525,0,0.65,0,3.8626567999999475,0,1.716738197424904,0,0.5405,0.5359,0.5332205000000001,2.2499975859999544,10,0,10,0,0,0,0,0,1,1,0,0,0.1,0.22499975860000002,0.226931087,3.4107259543999473,1.5158798283261876,1,1,0,0,3.7401195295932084,0.5972505286101334,"HIGH",1.182004793267915,0,"ASIA","MOMENTUM_EXTREME"
