id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"SHORT",1746737699999,102398.1,1746737759999,102638.03761823486,102638.03761823486,102038.19357264774,"SL",-1.3698227481758685,0,0.7,0,0.019600000000034926,1.0915999999999768,0.020421974828526628,1.137378965447932,102393.2,102671,102638.03761823486,0.9597504729393986,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.20479620000000004,0.20478639999999998,-0.3899825999999651,-0.40633749187492163,0,0,0,0,,0.23431842801267566,"MED",,20,"US",
2,"SHORT",1746774599999,103423.6,1746775139999,103539.05468259624,103539.05468259624,103250.41797610566,"SL",-0.8757440397501188,0,0.7,0,0.16680000000004658,0.5215999999999767,0.36118067333695764,1.129447477293142,103381.9,103554,103539.05468259624,0.4618187303849263,1,9,9,0,0,0.5215999999999767,0,1.129447477293142,0,0,0,0,0.1,0.2068472,0.2067638,-0.24681099999995343,-0.5344326328952406,0,0,0,0,4.324231086973854,0.11163282132534061,"LOW",1.7780664105382076,7,"EU","MOMENTUM_EXTREME"
3,"LONG",1746892799999,103100.6,1746893819999,103245.47365463046,103152.15030000001,103245.47365463046,"TP",0.16680247121256775,0,0.7,1,1.5175999999999767,0.0024000000000232832,3.9282504569355736,0.0062123096314819345,103480,103100,103004.0175635797,0.3863297456811997,17,1,17,1,0.0024000000000232832,0,0.0062123096314819345,0,1,1,1,1,0.1,0.20620120000000003,0.20696,1.1044387999999767,2.858798247731518,1,1,1,0,0.23810056224400664,0.09367786067229875,"LOW",-0.18022454106556285,15,"OVERLAP","CONSOLIDATION"
4,"SHORT",1746914399999,103706.1,1746914579999,103564.03755053371,103800.8082996442,103564.03755053371,"TP",0.15370952276409894,0,0.7,0,0.579600000000035,0.2915999999999767,1.5299609489810804,0.769731906009007,103561.2,103779,103800.8082996442,0.3788331985767582,3,1,3,1,0.2915999999999767,0,0.769731906009007,0,1,1,0,0,0.1,0.20741220000000002,0.2071224,0.16506540000003492,0.43572052454792926,0,0,0,0,0.7393268250036483,0.09132375014024417,"LOW",0.3996005890556164,21,"US","CONSOLIDATION"
5,"SHORT",1747033499999,105630.8,1747033559999,105832.59593130699,105832.59593130699,105328.10610303954,"SL",-1.2301105170905653,0,0.7,0,0.2584000000000233,0.8452000000000116,0.32012538400356166,1.047097424766988,105566.2,105842.1,105832.59593130699,0.8071837252279511,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.21126160000000002,0.2111324,-0.16399399999997674,-0.20316812006295634,0,0,0,0,1.8485521667360856,0.19103891223675398,"LOW",1.4797481603312992,7,"EU","NORMAL"
6,"LONG",1747051199999,103712.3,1747052819999,103980.70742212691,103533.36171858206,103980.70742212691,"TP",0.6582436736633905,0,0.7,0,1.0847999999999884,0.20040000000002328,1.5156063747285213,0.27998480595099023,103983.5,103662.2,103533.36171858206,0.715753125671763,27,1,27,1,0.20040000000002328,0,0.27998480595099023,0,1,1,0,0,0.1,0.20742460000000001,0.207967,0.6694083999999885,0.9352504040715461,1,0,0,0,-0.8495146791279915,0.17253332672975316,"LOW",-0.4364731472500556,11,"EU","CONSOLIDATION"
7,"LONG",1747075799999,100729.4,1747075859999,100779.7647,100779.7647,101193.7583492046,"TRAILING_SL",-0.20155952939997787,0,0.7,1,1.4052000000000118,0,1.134791698916614,0,101080.7,100729.4,100419.82776719693,1.2382889312122716,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.2014588,0.2021614,1.0015798000000118,0.8088417612030787,1,0,0,0,-3.7739778372181947,0.30733056367164374,"MED",-2.8359106922285524,18,"US","MOMENTUM_EXTREME"
8,"SHORT",1747312499999,102741.4,1747313459999,102504.99168952894,102899.00554031404,102504.99168952894,"TP",0.535140458505178,0,0.7,0,1.0275999999999768,0.23440000000002328,1.6300188399981905,0.37181434030325267,102484.5,102800,102899.00554031404,0.630422161256196,16,1,16,1,0.23440000000002328,0,0.37181434030325267,0,1,1,0,0,0.1,0.2054828,0.20496899999999998,0.6171481999999768,0.9789443295746947,1,0,0,0,-1.1967018573689954,0.1534002265046446,"LOW",0.03926685498645492,12,"OVERLAP","NORMAL"
9,"SHORT",1747327799999,103655.9,1747329659999,103875.25650081769,103875.25650081769,103326.86524877345,"SL",-1.2924883162724181,0,0.7,0,0.226,1.282,0.25757157772568784,1.461091870107663,103599.4,103976.4,103875.25650081769,0.8774260032707826,23,31,31,0,0.7764000000000233,1.282,0.8848609422399559,1.461091870107663,0,0,0,0,0.1,0.20731180000000002,0.20719880000000002,-0.18851060000000003,-0.21484501176998255,0,0,0,0,0.5290445968592887,0.21161988928531852,"MED",1.0027655109479454,16,"US","CONSOLIDATION"
10,"LONG",1747383599999,103338.8,1747383719999,103228.22662636262,103228.22662636262,103504.66006045608,"SL",-0.8554275478022471,0,0.7,0,0,0.5824000000000233,0,1.3167727022374607,103338.8,103193.2,103228.22662636262,0.4422934945495217,0,2,2,0,0,0.5824000000000233,0,1.3167727022374607,0,0,0,0,0.1,0.20667760000000002,0.20667760000000002,-0.41335520000000003,-0.934572190398153,0,0,0,0,1.3070863825970198,0.10700082992775319,"LOW",-0.14750038155944897,8,"EU","NORMAL"
