id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"SHORT",1746737699999,102398.1,1746737759999,102638.03761823486,102638.03761823486,102158.16238176516,"SL",-1.3698227481758685,0,0.7,0,0.019600000000034926,1.0915999999999768,0.020421974828526628,1.137378965447932,102393.2,102671,102638.03761823486,0.9597504729393986,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.20479620000000004,0.20478639999999998,-0.3899825999999651,-0.40633749187492163,0,0,0,0,,0.23431842801267566,"MED",,20,"US",
2,"SHORT",1746774599999,103423.6,1746775139999,103539.05468259624,103539.05468259624,103308.14531740377,"SL",-0.8757440397501188,0,0.7,0,0.16680000000004658,0.5215999999999767,0.36118067333695764,1.129447477293142,103381.9,103554,103539.05468259624,0.4618187303849263,1,9,9,0,0,0.5215999999999767,0,1.129447477293142,0,0,0,0,0.1,0.2068472,0.2067638,-0.24681099999995343,-0.5344326328952406,0,0,0,0,4.324231086973854,0.11163282132534061,"LOW",1.7780664105382076,7,"EU","MOMENTUM_EXTREME"
3,"LONG",1746892799999,103100.6,1746892919999,103197.1824364203,103004.0175635797,103197.1824364203,"TP",-0.02626581919164095,0,0.7,0,0.4463999999999651,0.0024000000000232832,1.1554895914443397,0.0062123096314819345,103212.2,103100,103004.0175635797,0.3863297456811997,2,1,2,1,0.0024000000000232832,0,0.0062123096314819345,0,1,1,0,0,0.1,0.20620120000000003,0.2064244,0.033774399999965066,0.08742376267302955,0,0,0,0,0.23810056224400664,0.09367786067229875,"LOW",-0.18022454106556285,15,"OVERLAP","CONSOLIDATION"
4,"SHORT",1746914399999,103706.1,1746914519999,103611.39170035582,103800.8082996442,103611.39170035582,"TP",-0.03580178482395352,0,0.7,0,0.5364000000000233,0.2915999999999767,1.4159265925352615,0.769731906009007,103572,103779,103800.8082996442,0.3788331985767582,2,1,2,1,0.2915999999999767,0,0.769731906009007,0,1,1,0,0,0.1,0.20741220000000002,0.20714400000000002,0.12184380000002323,0.3216291509238876,0,0,0,0,0.7393268250036483,0.09132375014024417,"LOW",0.3996005890556164,21,"US","CONSOLIDATION"
5,"SHORT",1747033499999,105630.8,1747033559999,105832.59593130699,105832.59593130699,105429.00406869302,"SL",-1.2301105170905653,0,0.7,0,0.2584000000000233,0.8452000000000116,0.32012538400356166,1.047097424766988,105566.2,105842.1,105832.59593130699,0.8071837252279511,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.21126160000000002,0.2111324,-0.16399399999997674,-0.20316812006295634,0,0,0,0,1.8485521667360856,0.19103891223675398,"LOW",1.4797481603312992,7,"EU","NORMAL"
6,"LONG",1747051199999,103712.3,1747051979999,103891.23828141794,103533.36171858206,103891.23828141794,"TP",0.30054604910892707,0,0.7,0,0.7347999999999884,0.20040000000002328,1.0266109551534952,0.27998480595099023,103896,103662.2,103533.36171858206,0.715753125671763,13,1,13,1,0.20040000000002328,0,0.27998480595099023,0,1,1,0,0,0.1,0.20742460000000001,0.207792,0.3195833999999884,0.44649948220630764,0,0,0,0,-0.8495146791279915,0.17253332672975316,"LOW",-0.4364731472500556,11,"EU","CONSOLIDATION"
7,"LONG",1747075799999,100729.4,1747075859999,100779.7647,100779.7647,101038.97223280306,"TRAILING_SL",-0.20155952939997787,0,0.7,1,1.4052000000000118,0,1.134791698916614,0,101080.7,100729.4,100419.82776719693,1.2382889312122716,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.2014588,0.2021614,1.0015798000000118,0.8088417612030787,1,0,0,0,-3.7739778372181947,0.30733056367164374,"MED",-2.8359106922285524,18,"US","MOMENTUM_EXTREME"
8,"SHORT",1747312499999,102741.4,1747312919999,102583.79445968595,102899.00554031404,102583.79445968595,"TP",0.2197717723368241,0,0.7,0,0.6851999999999534,0.23440000000002328,1.0868907251525004,0.37181434030325267,102570.1,102800,102899.00554031404,0.630422161256196,7,1,7,1,0.23440000000002328,0,0.37181434030325267,0,1,1,0,0,0.1,0.2054828,0.20514020000000002,0.27457699999995344,0.4355446506715817,0,0,0,0,-1.1967018573689954,0.1534002265046446,"LOW",0.03926685498645492,12,"OVERLAP","NORMAL"
9,"SHORT",1747327799999,103655.9,1747329659999,103875.25650081769,103875.25650081769,103436.5434991823,"SL",-1.2924883162724181,0,0.7,0,0.226,1.282,0.25757157772568784,1.461091870107663,103599.4,103976.4,103875.25650081769,0.8774260032707826,23,31,31,0,0.7764000000000233,1.282,0.8848609422399559,1.461091870107663,0,0,0,0,0.1,0.20731180000000002,0.20719880000000002,-0.18851060000000003,-0.21484501176998255,0,0,0,0,0.5290445968592887,0.21161988928531852,"MED",1.0027655109479454,16,"US","CONSOLIDATION"
10,"LONG",1747383599999,103338.8,1747383719999,103228.22662636262,103228.22662636262,103449.37337363738,"SL",-0.8554275478022471,0,0.7,0,0,0.5824000000000233,0,1.3167727022374607,103338.8,103193.2,103228.22662636262,0.4422934945495217,0,2,2,0,0,0.5824000000000233,0,1.3167727022374607,0,0,0,0,0.1,0.20667760000000002,0.20667760000000002,-0.41335520000000003,-0.934572190398153,0,0,0,0,1.3070863825970198,0.10700082992775319,"LOW",-0.14750038155944897,8,"EU","NORMAL"
