id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"SHORT",1746780299999,102738.3,1746782999999,102686.93085,102686.93085,100844.99999999999,"TRAILING_SL",-0.20537386170000554,0,0.7,1,1.3527999999999885,2.0527999999999884,0.2124638773715269,0.3224023118482197,102400.1,103251.5,104330.1,6.367200000000012,3,2,3,1,2.0527999999999884,0,0.3224023118482197,0,0,0,0,0,0.1,0.20547660000000004,0.20480020000000002,0.9425231999999883,0.1480278929513737,0,0,0,0,3.1621934528979545,0.38809408142969004,"MED",0.9729674361036491,8,"EU","MOMENTUM_EXTREME"
2,"LONG",1746798299999,103212.3,1746799199999,103473.70000000001,103473.70000000001,103743.3,"TRAILING_SL",0.6322280000000349,0,0.7,2,2.0912000000000117,0.15879999999998837,1.166183359357572,0.08855677002006877,103735.1,103172.6,102764,1.7932000000000117,1,1,1,0,0,0,0,0,1,1,0,0,0.1,0.2064246,0.20747020000000002,1.6773052000000117,0.935369841623913,1,0,0,0,3.9909844918751674,0.35121534514009684,"MED",0.9754255170665816,13,"OVERLAP","MOMENTUM_EXTREME"
3,"LONG",1746811799999,102992.7,1746818999999,103044.19635,103044.19635,103975.2,"TRAILING_SL",-0.20608839269999496,0,0.7,1,1.3824000000000234,0.564399999999965,0.4743343398298243,0.19365907219323766,103338.3,102851.6,102264.1,2.914399999999965,6,8,8,0,0.35679999999998835,0.564399999999965,0.12242657150699719,0.19365907219323766,0,0,0,0,0.1,0.2059854,0.20667660000000002,0.9697380000000233,0.33274018665935867,0,0,0,0,1.4953392598987085,0.3854159123719894,"MED",0.5308483052760258,17,"US","NORMAL"
4,"SHORT",1746867599999,103608,1746892799999,103330.8,103330.8,102900.90000000001,"TRAILING_SL",0.6949223999999884,0,0.7,2,2.217599999999977,1.168,1.174825174825177,0.6187751642297172,103053.6,103900,104079.9,1.8875999999999769,28,3,28,1,1.168,0,0.6187751642297172,0,1,1,0,0,0.1,0.207216,0.20610720000000002,1.8042767999999771,0.9558575969485057,1,0,0,0,0.6594824403570638,0.21960217214696465,"MED",0.4918349706309816,8,"EU","CONSOLIDATION"
5,"SHORT",1746899999999,103132,1746914399999,103480,103480,102738.09999999999,"SL",-1.8052240000000002,0,0.7,0,1.008,2.5404000000000235,0.7241379310344827,1.8250000000000168,102880,103767.1,103480,1.3920000000000001,3,16,16,0,0.5632000000000117,2.5404000000000235,0.40459770114943366,1.8250000000000168,1,0,0,0,0.1,0.206264,0.20576,0.5959760000000001,0.4281436781609195,0,0,0,0,-0.04962048085346945,0.1872200889461412,"LOW",-0.14307090849531778,17,"US","CONSOLIDATION"
6,"LONG",1746953099999,103918.9,1746954899999,103970.85944999999,103970.85944999999,104787.69999999998,"TRAILING_SL",-0.20794171890002064,0,0.7,1,1.2704000000000233,0.6755999999999768,0.47480938854837584,0.25250411122738176,104236.5,103750,103250,2.6755999999999767,2,1,2,1,0.6755999999999768,0,0.25250411122738176,0,0,0,0,0,0.1,0.2078378,0.20847300000000002,0.8540892000000232,0.3192140828225559,0,0,0,0,0.0645149486913576,0.264654705873588,"MED",0.2423278799766323,8,"EU","CONSOLIDATION"
7,"SHORT",1746970199999,104283.5,1746971999999,104231.35825,104231.35825,103721.45000000001,"TRAILING_SL",-0.20846271650001913,0,0.7,1,1.534,0.8052000000000117,0.6710411198600175,0.352230971128614,103900,104484.8,104855,2.286,2,1,2,1,0.8052000000000117,0,0.352230971128614,0,1,0,0,0,0.1,0.208567,0.2078,1.117633,0.488903324584427,0,0,0,0,0.7180799690940699,0.2399124780962829,"MED",0.3243737504010761,13,"OVERLAP","CONSOLIDATION"
8,"LONG",1746989099999,104449.9,1746989999999,104502.12495,104502.12495,105098.65,"TRAILING_SL",-0.20900424989998617,0,0.7,1,1.4484000000000232,0,0.49158294868315244,0,104812,104449.9,103713.3,2.946399999999965,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.2088998,0.209624,1.0298762000000232,0.34953713005703074,0,0,0,0,1.3030228967357993,0.2926454079373421,"MED",0.45428006690777434,18,"US","NORMAL"
9,"SHORT",1747050299999,104109.6,1747051199999,103844.8,103844.8,101520,"TRAILING_SL",0.6432912000000116,0,0.7,2,2.1184000000000234,0.3971999999999534,0.30568542568542906,0.057316017316010597,103580,104208.9,105842.1,6.93,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.20821920000000002,0.20716,1.7030208000000233,0.24574614718615057,0,0,0,0,-0.34125903044145417,0.2873229035993687,"MED",-0.09866019187849603,11,"EU","CONSOLIDATION"
10,"LONG",1747058399999,104286.3,1747060199999,103740.5,103740.5,104975.55,"SL",-2.599253600000012,0,0.7,0,0.226,7.055600000000035,0.10351777207768358,3.2317698790765834,104342.8,102522.4,103740.5,2.183200000000012,1,2,2,0,0,7.055600000000035,0,3.2317698790765834,0,0,0,0,0.1,0.20857260000000002,0.20868560000000003,-0.19125820000000004,-0.08760452546720365,0,0,0,0,0.3331729844140879,0.3617886192358047,"MED",0.12983471012180173,13,"OVERLAP","CONSOLIDATION"
