id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1746779399999,2426.58,1746780299999,2472.0730000000003,2472.0730000000003,2633.9999999999995,"TRAILING_SL",7.963079597500073,0,0.7,3,12.023150000000044,11.767850000000024,0.37943717888837186,0.37138019617001533,2491.57,2362.97,2255.3,31.686799999999952,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.22445864999999998,0.230470225,11.568221125000044,0.3650801319476899,0,0,0,0,25.70999326529555,1.2080434007393697,"HIGH",13.633891628246692,8,"EU","MOMENTUM_EXTREME"
2,"LONG",1746798299999,2364.63,1746799199999,2380.919,2380.919,2406.135,"TRAILING_SL",2.6440828449999545,0,0.7,3,4.421299999999997,0.24129999999999655,0.5861460957178797,0.03198992443324869,2387.9,2363.36,2324.93,7.543000000000052,1,1,1,0,0,0,0,0,1,0,0,0,0.1,0.22463985000000003,0.2268505,3.969809649999997,0.5262905541561673,1,0,0,0,20.019185772075062,1.2134714006025096,"HIGH",6.568383670409316,13,"OVERLAP","MOMENTUM_EXTREME"
3,"LONG",1746811799999,2330.16,1746812699999,2336.17,2336.17,2392.6349999999993,"TRAILING_SL",0.7096291550000421,0,0.7,2,2.3198599999999967,1.1193999999999473,0.21342329545454625,0.10298295454545023,2342.18,2324.36,2273.84,10.869759999999944,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.22486044,0.22602037,1.8689791899999966,0.1719430042613642,0,0,0,0,13.787900244651599,1.176934564291923,"HIGH",3.584926421127834,17,"US","MOMENTUM_EXTREME"
4,"LONG",1746884699999,2422,1746885599999,2440.459,2440.459,2477.035,"TRAILING_SL",2.965137542499969,0,0.7,3,4.8784499999999795,0.13505000000000336,0.6815714654949562,0.01886792452830233,2448.37,2421.27,2383.31,7.15765000000001,1,1,1,0,0,0,0,0,1,0,0,0,0.1,0.224035,0.226474225,4.42794077499998,0.6186305246833771,1,0,0,0,2.4261723821485766,0.758018576549184,"HIGH",2.9941618830661176,13,"OVERLAP","NORMAL"
5,"LONG",1746897299999,2477.6,1746898199999,2483.795,2483.795,2548.79,"TRAILING_SL",0.6722887525000297,0,0.7,2,2.2425899999999768,1.4371400000000099,0.24894514767932244,0.15953385573638856,2489.99,2469.66,2427.83,9.008369999999996,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.22422279999999997,0.225344095,1.7930231049999765,0.19903968253968002,0,0,0,0,7.049653479891457,0.8253270896031173,"HIGH",4.0888132663398125,17,"US","MOMENTUM_EXTREME"
6,"LONG",1746963899999,2528,1746964799999,2529.264,2529.264,2628.9500000000003,"TRAILING_SL",-0.225104495999978,0,0.7,1,1.3510200000000259,1.1801400000000193,0.10052980132450523,0.08781456953642527,2535.59,2521.37,2452.5,13.439,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.224992,0.22566751,0.9003604900000258,0.06699609271523371,0,0,0,0,6.163621321753883,0.7080056184937988,"HIGH",1.3470143666493768,11,"EU","MOMENTUM_EXTREME"
7,"SHORT",1746970199999,2500.69,1746971099999,2484.177,2484.177,2470.6150000000007,"TRAILING_SL",2.5096814034999855,0,0.7,3,4.222610000000026,0,0.8297572986282196,0,2477.1,2500.69,2529.12,5.0889699999999705,1,0,1,0,0,0,0,0,1,0,0,0,0.1,0.223811755,0.22170045,3.777097795000026,0.7422126275061649,1,0,0,0,3.4488607217910694,0.6849949167645639,"HIGH",0.06325650246519675,13,"OVERLAP","MOMENTUM_EXTREME"
8,"LONG",1746983699999,2481.32,1746984599999,2482.56066,2482.56066,2543.0600000000004,"TRAILING_SL",-0.22467173973001192,0,0.7,1,1.67425,1.326730000000069,0.2183148454094861,0.1729997639839585,2490.57,2473.99,2438.95,7.668970000000062,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.22455946000000002,0.225396585,1.224293955,0.15964255369364988,0,0,0,0,0.1501453019050797,0.8185859426636966,"HIGH",-0.35419818156287197,17,"US","CONSOLIDATION"
9,"LONG",1747055699999,2561.81,1747056599999,2569.1549999999997,2569.1549999999997,2611.76,"TRAILING_SL",0.8364155624999648,0,0.7,2,2.570750000000009,1.8794999999999618,0.4281550568347443,0.3130282716409152,2576.5,2551.07,2527.5,6.00424999999999,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.224158375,0.22544375,2.121147875000009,0.35327440979306535,0,0,0,0,1.4196638888339093,0.7490554630198457,"HIGH",1.416771615639634,13,"OVERLAP","NORMAL"
10,"SHORT",1747073699999,2460.99,1747074599999,2445.044,2445.044,2400.6449999999995,"TRAILING_SL",2.455722905999984,0,0.7,3,4.1459599999999535,2.433340000000063,0.47746803605113664,0.2802347516244045,2438.21,2474.36,2508.7,8.683220000000006,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.22395008999999996,0.22187711,3.700132799999954,0.4261245022007909,0,0,0,0,-0.9143616378789724,0.9151002801495334,"HIGH",-2.221061054341724,18,"US","CONSOLIDATION"
