id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1746784799999,165.61,1746785339999,167.21153409168957,164.5423106055403,167.21153409168957,"TP",3.8992300730569696,0,0.65,0,5.406829999999948,0,1.8638379385673323,0,167.6,165.61,164.5423106055403,2.90091208474702,9,0,9,0,0,0,0,0,1,1,0,0,0.1,0.22498118500000006,0.2276846,4.954164214999948,1.7077953658261196,1,1,0,0,7.619170816894102,1.0170671203391606,"HIGH",3.2789691361063764,9,"EU","MOMENTUM_EXTREME"
2,"LONG",1746818999999,171.18,1746821999999,172.46385,170.32410000000002,172.46385,"TP",2.922409781100003,0,0.65,0,3.390119999999979,0.18395999999998208,1.5071854188573492,0.08178525528682544,172.47,171.11,170.32410000000002,2.249305199999977,50,1,50,1,0.18395999999998208,0,0.08178525528682544,0,1,1,0,0,0.1,0.22493052000000002,0.22662558000000002,2.9385638999999792,1.3064318261479186,1,1,0,0,7.146426786606695,0.8229354305873882,"HIGH",2.687035789509671,19,"US","MOMENTUM_EXTREME"
3,"LONG",1746824399999,172.4,1746877319999,168.86659462143078,168.86659462143078,177.70010806785385,"SL",-9.66754094404665,0,0.65,0,7.412400000000009,9.422100000000036,0.8037571961669445,1.0216772810431962,175.24,168.79,168.86659462143078,9.222188038065683,200,882,882,0,3.6279000000000385,9.422100000000036,0.39338820516621953,1.0216772810431962,1,0,0,0,0.1,0.22498200000000002,0.2286882,6.958729800000009,0.7545638596043608,1,0,0,0,6.240786240786238,0.6810926969033836,"HIGH",2.9699094088025535,20,"US","MOMENTUM_EXTREME"
4,"LONG",1747206899999,183.17,1747207079999,182.25414999999998,182.25414999999998,184.54377499999998,"SL",-2.698068456200015,0,0.65,0,0,2.9717599999999496,0,1.3211770486433059,183.17,181.96,182.25414999999998,2.2493276000000146,0,3,3,0,0,2.9717599999999496,0,1.3211770486433059,0,0,0,0,0.1,0.22493275999999998,0.22493275999999998,-0.44986551999999996,-0.19999999999999868,0,0,0,0,6.700099131144661,0.6251464436438356,"HIGH",1.789329734426277,7,"EU","MOMENTUM_EXTREME"
5,"SHORT",1747253699999,177.25,1747257239999,175.920625,178.13625,175.920625,"TP",2.925780226874997,0,0.65,0,3.527819999999965,0.025379999999976914,1.568406205923839,0.011283497884334014,175.86,177.26,178.13625,2.249302499999974,59,43,59,1,0.025379999999976914,0,0.011283497884334014,0,1,1,0,0,0.1,0.22493024999999997,0.22316634,3.079723409999965,1.3691904090267986,1,1,0,0,-2.5206839492553894,0.5905652225732332,"HIGH",-0.9251773568699837,20,"US","NORMAL"
6,"SHORT",1747309499999,170.99,1747312259999,171.84495,171.84495,169.70757500000002,"SL",-2.700372826725006,0,0.65,0,2.3415900000000387,2.394209999999991,1.0409965495058335,1.0643897303935834,170.1,171.9,171.84495,2.249373450000006,32,46,46,0,1.2102599999999462,2.394209999999991,0.5380431604187126,1.0643897303935834,1,1,0,0,0.1,0.224937345,0.22376654999999998,1.892886105000039,0.841517047780587,1,0,0,0,-6.00418640519996,0.6896871759970624,"HIGH",-2.21730756013797,11,"EU","MOMENTUM_EXTREME"
7,"SHORT",1747418399999,170.52,1747432979999,168.32774991729502,171.98150005513668,168.32774991729502,"TP",5.336215536034844,0,0.65,0,7.069840000000018,2.532479999999946,1.8337323974643265,0.6568593662558624,167.84,171.48,171.98150005513668,3.855437145450529,243,120,243,1,2.532479999999946,0,0.6568593662558624,0,1,1,0,0,0.1,0.22491588,0.22138096,6.623543160000017,1.7179746187318583,1,1,0,0,-1.6063792904195084,0.6880824820622508,"HIGH",-0.875060932272239,17,"US","NORMAL"
8,"SHORT",1747435499999,167.64,1747435859999,166.3827,168.4782,166.3827,"TP",2.926334736599964,0,0.65,0,3.784439999999991,0,1.6821760916249053,0,166.23,167.64,168.4782,2.2497288000000015,6,0,6,0,0,0,0,0,1,1,0,0,0.1,0.22497288000000001,0.22308066,3.336386459999991,1.4830171796707179,1,1,0,0,-1.6546932045695455,0.6086278076672516,"HIGH",-2.445305114958246,22,"US","NORMAL"
9,"SHORT",1747467899999,169.29,1747468079999,168.02032499999999,170.13645,168.02032499999999,"TP",2.926510728075017,0,0.65,0,3.481980000000006,0,1.547640144131367,0,167.98,169.29,170.13645,2.2498641000000115,3,0,3,0,0,0,0,0,1,1,0,0,0.1,0.22498640999999997,0.22324541999999997,3.0337481700000057,1.3484139642034336,1,1,0,0,-2.1673445671121385,0.5688826069839794,"HIGH",-0.4245307102100424,7,"EU","NORMAL"
10,"SHORT",1747480499999,167.64,1747488779999,166.3827,168.4782,166.3827,"TP",2.926334736599964,0,0.65,0,3.381839999999976,1.1541200000000185,1.5032211882605466,0.5130040563111508,166.38,168.07,168.4782,2.2497288000000015,138,38,138,1,1.1541200000000185,0,0.5130040563111508,0,1,1,0,0,0.1,0.22497288000000001,0.22328196,2.933585159999976,1.303972798854677,1,1,0,0,-3.750432077428286,0.5590415035910965,"HIGH",-0.9693620381504209,11,"EU","MOMENTUM_EXTREME"
11,"SHORT",1747664099999,162.63,1747665959999,163.44315,163.44315,161.41027499999998,"SL",-2.7011082530250206,0,0.65,0,2.4903000000000155,2.379620000000038,1.1068068622025424,1.057615446104662,161.73,163.49,163.44315,2.2499860500000204,1,31,31,0,0,2.379620000000038,0,1.057615446104662,1,1,0,0,0.1,0.224998605,0.223753455,2.041547940000015,0.9073602656336455,1,0,0,0,-6.116882363182631,0.707294232272001,"HIGH",-1.7213199124613776,14,"OVERLAP","MOMENTUM_EXTREME"
12,"SHORT",1747749599999,165.58,1747752419999,166.42114714297784,166.42114714297784,164.31827928553327,"SL",-2.736420345864504,0,0.65,0,3.314739999999997,2.6898299999999478,1.450400218540779,1.1769641117666758,164.36,166.57,166.42114714297784,2.2853967874707686,16,47,47,0,0,2.6898299999999478,0,1.1769641117666758,1,1,0,0,0.1,0.22494043000000002,0.22328306000000003,2.8665165099999967,1.2542751988254734,1,1,0,0,1.6544682944830542,0.5266762322076612,"HIGH",-0.9305360355441742,13,"OVERLAP","NORMAL"
13,"SHORT",1747757699999,166.92,1747758599999,165.66809999999998,167.75459999999998,165.66809999999998,"TP",2.9257080352500164,0,0.65,0,3.4765499999999783,0,1.5456506110711723,0,165.63,166.92,167.75459999999998,2.2492469999999853,15,0,15,0,0,0,0,0,1,1,0,0,0.1,0.22492469999999998,0.223186425,3.028438874999978,1.3464234363767065,1,1,0,0,1.91043675901469,0.5782774466332079,"HIGH",-0.47773611898002033,16,"US","NORMAL"
14,"LONG",1747853099999,167.05,1747853159999,168.302875,166.21475,168.302875,"TP",2.92243972881247,0,0.65,0,5.843809999999967,0,2.598024543549814,0,169.22,167.05,166.21475,2.2493282500000054,1,0,1,0,0,0,0,0,1,1,1,0,0.1,0.224932825,0.22785473000000003,5.391022444999967,2.3967255312780402,1,1,1,0,1.6256246613281886,1.1139012547678646,"HIGH",-0.34789713392626176,18,"US","NORMAL"
15,"LONG",1747898099999,175.71,1747898219999,177.32869947631406,174.63086701579064,177.32869947631406,"TP",3.6934233041608593,0,0.65,0,4.48175,0,1.6216722365150846,0,177.46,175.71,174.63086701579064,2.763659572560186,2,0,2,0,0,0,0,0,1,1,0,0,0.1,0.22499665500000002,0.22723753,4.029515815,1.4580362411522183,1,1,0,0,4.213499676337313,0.6571667592925364,"HIGH",2.5372989034401146,7,"EU","MOMENTUM_EXTREME"
16,"LONG",1747900799999,177.93,1747901939999,179.264475,177.04035000000002,179.264475,"TP",2.923214861362494,0,0.65,0,3.4647300000000114,0,1.5399314337099104,0,179.3,177.93,177.04035000000002,2.2499248499999718,19,0,19,0,0,0,0,0,1,1,0,0,0.1,0.224992485,0.22672485,3.0130126650000113,1.3391614679930528,1,1,0,0,5.735956387769618,0.6997688486262305,"HIGH",3.0080660814930114,7,"EU","MOMENTUM_EXTREME"
17,"LONG",1747939499999,179.28,1747940759999,178.3836,178.3836,180.62460000000002,"SL",-2.6988318179999995,0,0.65,0,1.0290999999999912,2.259000000000014,0.45738509593930904,1.0040160642570346,179.69,178.38,178.3836,2.2499639999999994,12,21,21,0,0.050200000000025675,2.259000000000014,0.02231146809461204,1.0040160642570346,0,0,0,0,0.1,0.22499639999999999,0.22551095,0.5785926499999913,0.2571564033913393,0,0,0,0,6.357011671307553,0.5692842158639694,"HIGH",1.686804462328564,18,"US","MOMENTUM_EXTREME"
